earthquake_count,mean_magnitude,max_magnitude,mean_depth,max_depth
72,4.365277777777778,5.3,179.0952777777778,375.25
43,4.2953488372093025,5.7,149.1419534883721,422.86
583,4.45197255574614,6.1,57.3407461406518,230.336
177,4.563841807909604,6.1,89.43143502824859,410.377
